userid,bus_or_ped,busdestination,inside_or_outside,tripid,totalseats,totalpassengercount,totalfemalecount,emptyseats,location,timestamp,date,time,surveyid,gender,age,companions,educational_attainment,origin,destinations,trip_purpose,modesecurity,pointsecurity,importance_safety,mostsafe,leastsafe,rfid_opinion,mostsafe,leastsafe,selectelement
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T6816270,N/A,N/A,N/A,N/A,19.50485 -99.20058,7/12/13 15:39,7/12/13,3:39:39 PM,M3856494,male,18-24,1 to 2,Secundaria,Nezahualcoyotl,Azcapotzalco,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T4252012,N/A,N/A,N/A,N/A,19.50449 -99.20144,7/11/13 18:31,7/11/13,6:31:03 PM,M8226961,male,45-64,None,Licenciatura,Tlalnepantla de Baz,Cuauhtemoc,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50964 -99.19894,15/07/2013 17:55:58,7/15/13,5:55:58 PM,F1021663,female,45-64,None,Secundaria,Azcapotzalco,Azcapotzalco,Compra,1,3,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50348 -99.20433,15/07/2013 18:30:22,7/15/13,6:30:22 PM,F6623315,female,45-64,3 to 4,Licenciatura,Azcapotzalco,Cuautitlan,Recreacion,1,4,5 (Muy importante),Trolebus,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Dentro CETRAM,T2629037,N/A,N/A,N/A,N/A,19.50498 -99.20067,16/07/2013 19:09:09,7/16/13,7:09:09 PM,F1229567,female,18-24,None,Preparatoria,Cuautitlan,Azcapotzalco,Trabajo,1,3,5 (Muy importante),Taxi,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50348 -99.20433,15/07/2013 18:26:47,7/15/13,6:26:47 PM,M3031330,male,45-64,None,Secundaria,Cuautitlan,Otro,Trabajo,1,4,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50348 -99.20433,15/07/2013 18:25:33,7/15/13,6:25:33 PM,M7747579,male,,,,Cuautitlan,Otro,,1,5,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T3046523,N/A,N/A,N/A,N/A,19.50463 -99.20119,15/07/2013 16:21:35,7/15/13,4:21:35 PM,M3099450,male,45-64,1 to 2,,Cuautitlan Izcalli,Azcapotzalco,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T3046523,N/A,N/A,N/A,N/A,19.50456 -99.20138,15/07/2013 16:22:25,7/15/13,4:22:25 PM,M8427646,male,45-64,1 to 2,,Cuautitlan Izcalli,Azcapotzalco,Trabajo,1,1,5 (Muy importante),Metro,Peseros,5,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50348 -99.20433,15/07/2013 17:45:54,7/15/13,5:45:54 PM,M4675497,male,18-24,None,Preparatoria,Gustavo A. Madero,Azcapotzalco,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50655 -99.20216,15/07/2013 17:50:27,7/15/13,5:50:27 PM,F1049712,female,18-24,None,Preparatoria,Nicolas Romero,Azcapotzalco,Estudio,1,4,5 (Muy importante),BRT,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50348 -99.20433,15/07/2013 16:59:35,7/15/13,4:59:36 PM,F1099637,female,0-17,None,Licenciatura,Otro,Azcapotzalco,Estudio,1,1,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50328 -99.20444,15/07/2013 17:47:37,7/15/13,5:47:37 PM,F9698216,female,18-24,None,Secundaria,Otro,Azcapotzalco,Recreacion,1,5,5 (Muy importante),BRT,Peseros,No se,,,
Kuan,Pedestrian,Mexipuerto,Fuera CETRAM,T9670181,N/A,N/A,N/A,N/A,19.53315 -99.0269,7/11/13 14:17,7/11/13,2:17:20 PM,F2773448,female,0-17,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Recreacion,1,2,5 (Muy importante),Taxi,Peseros,No se,,,
Liz,Pedestrian,El Rosario,Dentro CETRAM,T8518804,N/A,N/A,N/A,N/A,19.50493 -99.2007,7/10/13 13:21,7/10/13,1:21:14 PM,F1204823,female,0-17,1 to 2,Primaria,Ecatepec de Morelos,Ecatepec de Morelos,Compra,1,3,5 (Muy importante),Metro,Peseros,No se,,,
lqchen,Pedestrian,Mexipuerto,Dentro CETRAM,T4180806,N/A,N/A,N/A,N/A,19.53425 -99.027,7/15/13 17:08,7/15/13,5:08:17 PM,M1234695,male,18-24,None,Preparatoria,Coyoacan,Ecatepec de Morelos,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
lqchen,Pedestrian,Mexipuerto,Fuera CETRAM,T4749874,N/A,N/A,N/A,N/A,19.53424 -99.02704,7/15/13 17:40,7/15/13,5:40:11 PM,F7136058,female,45-64,None,Preparatoria,Cuauhtemoc,Tecamec,Otro,1,4,5 (Muy importante),Metro,Peseros,No se,,,
lqchen,Pedestrian,Mexipuerto,Fuera CETRAM,T4749874,N/A,N/A,N/A,N/A,19.53421 -99.02706,7/15/13 17:47,7/15/13,5:47:45 PM,M3866916,male,18-24,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Compra,1,3,5 (Muy importante),Metro,Peseros,5,,,
lqchen,Pedestrian,Mexipuerto,Fuera CETRAM,T4749874,N/A,N/A,N/A,N/A,19.53319 -99.02733,7/15/13 17:49,7/15/13,5:49:30 PM,F1477160,female,0-17,1 to 2,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Compra,1,5,3,Metro,Peseros,1,,,
lqchen,Pedestrian,Mexipuerto,Fuera CETRAM,T3441517,N/A,N/A,N/A,N/A,19.5341 -99.02712,7/15/13 18:25,7/15/13,6:25:20 PM,F8793896,female,25-44,1 to 2,Secundaria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
lqchen,Pedestrian,Mexipuerto,Fuera CETRAM,T3441517,N/A,N/A,N/A,N/A,19.53383 -99.02714,7/15/13 18:29,7/15/13,6:29:51 PM,F7793198,female,25-44,1 to 2,Secundaria,Otro,Ecatepec de Morelos,Trabajo,1,3,5 (Muy importante),Metro,Trolebus,2,,,
lqchen,Pedestrian,Mexipuerto,Dentro CETRAM,T4180806,N/A,N/A,N/A,N/A,19.53422 -99.02703,7/15/13 17:10,7/15/13,5:10:45 PM,M8995817,male,45-64,None,Secundaria,Tecamec,Ecatepec de Morelos,Trabajo,1,5,5 (Muy importante),Metro,Peseros,1,,,
lqchen,Pedestrian,Mexipuerto,Fuera CETRAM,T6921621,N/A,N/A,N/A,N/A,19.53415 -99.02702,7/15/13 17:23,7/15/13,5:23:15 PM,F3224690,female,25-44,1 to 2,Secundaria,Tlalnepantla de Baz,Zumpango,Otro,1,4,5 (Muy importante),Metro,Peseros,No se,,,
buzoherbert,Bus,Mexico Nueva,Fuera CETRAM,T5847127,35,0,0,0,19.51831 -99.21156,7/13/13 17:13,7/13/13,5:13:52 PM,M1500077,male,65+,1 to 2,Licenciatura,Alvaro Obregon,Tlalnepantla de Baz,Trabajo,1,1,5 (Muy importante),Metro,Peseros,5,,,
buzoherbert,Bus,El Rosario,Dentro CETRAM,T6605055,35,0,0,0,19.50573 -99.20779,7/13/13 18:49,7/13/13,6:49:41 PM,F7981375,female,45-64,None,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Recreacion,1,1,5 (Muy importante),Taxi,Peseros,3,,,
buzoherbert,Bus,El Rosario,Dentro CETRAM,T5451995,35,0,0,0,19.556 -99.24434,7/13/13 18:27,7/13/13,6:27:30 PM,M9144539,male,25-44,None,Secundaria,Atizapan de Zaragoza,Tlalnepantla de Baz,Recreacion,1,1,1 (Muy poco importante),Taxi,Peseros,No se,,,
buzoherbert,Bus,Mexico Nueva,Fuera CETRAM,T5847127,35,0,0,0,19.53885 -99.22741,7/13/13 17:33,7/13/13,5:33:28 PM,F3712221,female,65+,None,Primaria,Cuauhtemoc,Atizapan de Zaragoza,Compra,1,1,5 (Muy importante),Metro,Peseros,No se,,,
buzoherbert,Bus,Mexico Nueva,Fuera CETRAM,T5847127,35,0,0,0,19.51297 -99.21294,7/13/13 17:19,7/13/13,5:19:52 PM,M6108773,male,45-64,1 to 2,Preparatoria,Cuauhtemoc,Atizapan de Zaragoza,Compra,1,3,5 (Muy importante),Taxi,BRT,No se,,,
buzoherbert,Bus,Mexico Nueva,Fuera CETRAM,T5847127,35,0,0,0,19.55488 -99.24064,7/13/13 17:38,7/13/13,5:38:18 PM,F4233046,female,25-44,1 to 2,Licenciatura,Iztacalco,Atizapan de Zaragoza,Recreacion,1,1,5 (Muy importante),Taxi,Peseros,No se,,,
buzoherbert,Bus,Mexico Nueva,Fuera CETRAM,T5847127,35,0,0,0,19.54736 -99.23586,7/13/13 17:36,7/13/13,5:36:33 PM,F2897661,female,0-17,1 to 2,Secundaria,Iztacalco,Atizapan de Zaragoza,Recreacion,1,1,5 (Muy importante),Metro,Peseros,No se,,,
clara,Bus,El Rosario,Fuera CETRAM,T1834146,35,0,0,0,19.50497 -99.2007,7/15/13 14:02,7/15/13,2:02:00 PM,F2448852,female,18-24,3 to 4,Licenciatura,Cuautitlan,Azcapotzalco,Estudio,1,3,5 (Muy importante),Metro,Peseros,No se,,,
clara,Bus,El Rosario,Fuera CETRAM,T1834146,35,0,0,0,19.50498 -99.2007,7/15/13 14:04,7/15/13,2:04:01 PM,F6537199,female,25-44,3 to 4,Licenciatura,Gustavo A. Madero,Azcapotzalco,Estudio,1,4,5 (Muy importante),Metro,Peseros,No se,,,
clara,Bus,El Rosario,Fuera CETRAM,T1834146,35,0,0,0,19.50493 -99.20072,7/15/13 14:02,7/15/13,2:02:57 PM,F5100189,female,18-24,3 to 4,Licenciatura,Tecamec,Azcapotzalco,Estudio,1,4,5 (Muy importante),Metro,Peseros,No se,,,
edgardsgn,Bus,El Rosario,Dentro CETRAM,T0976657,35,7,2,28,19.52621 -99.22221,12/7/13 14:17,7/12/13,2:17:13 PM,M2240563,male,25-44,3 to 4,Preparatoria,Atizapan de Zaragoza,Benito Juarez,Trabajo,1,2,5 (Muy importante),Metro,BRT,No se,,,
gabrielghv1,Bus,Mexico Nueva,Fuera CETRAM,T7249497,35,0,0,0,19.50574 -99.20778,15/07/2013 17:08:58,7/15/13,5:08:58 PM,M0205390,male,45-64,None,Secundaria,Alvaro Obregon,Atizapan de Zaragoza,Trabajo,1,1,4,Metro,Peseros,No se,,,
gabrielghv1,Bus,Mexico Nueva,Fuera CETRAM,T7249497,35,21,9,14,19.52412 -99.2262,15/07/2013 17:30:59,7/15/13,5:30:59 PM,F8883610,female,25-44,3 to 4,Secundaria,Azcapotzalco,Atizapan de Zaragoza,Trabajo,1,3,5 (Muy importante),Trolebus,Peseros,No se,,,
gabrielghv1,Bus,El Rosario,Fuera CETRAM,T4987295,35,17,5,18,19.536 -99.22698,15/07/2013 18:29:04,7/15/13,6:29:04 PM,M3465676,male,18-24,None,Licenciatura,Azcapotzalco,Atizapan de Zaragoza,Estudio,1,4,5 (Muy importante),Trolebus,Peseros,No se,,,
gabrielghv1,Bus,Mexico Nueva,Fuera CETRAM,T7249497,35,21,9,14,19.52828 -99.21057,15/07/2013 17:22:05,7/15/13,5:22:05 PM,F9746721,female,45-64,None,Licenciatura,Miguel Hidalgo,Tlalnepantla de Baz,Trabajo,1,4,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Bus,El Rosario,Fuera CETRAM,T4987295,35,38,8,-3,19.50619 -99.20829,15/07/2013 18:49:00,7/15/13,6:49:00 PM,F1556189,female,25-44,None,Maestria y Doctorado,Nicolas Romero,Tlalnepantla de Baz,Estudio,1,3,5 (Muy importante),Taxi,Peseros,No se,,,
gabrielghv1,Bus,El Rosario,Fuera CETRAM,T4987295,35,26,6,9,19.51338 -99.21322,15/07/2013 18:46:32,7/15/13,6:46:32 PM,F9736956,female,18-24,None,Licenciatura,Texcoco,Azcapotzalco,Recreacion,1,3,5 (Muy importante),Taxi,Peseros,No se,,,
gabrielghv1,Bus,Mexico Nueva,Fuera CETRAM,T7249497,35,23,9,12,19.53133 -99.2224,15/07/2013 17:35:10,7/15/13,5:35:10 PM,M8505755,male,25-44,None,Preparatoria,Tlalnepantla de Baz,Atizapan de Zaragoza,Trabajo,1,3,5 (Muy importante),Metro,Peseros,No se,,,
gemmher,Bus,Mexico Nueva,Fuera CETRAM,T2012070,35,16,0,19,19.50521 -99.20054,16/07/2013 16:43:56,7/16/13,4:43:56 PM,F8030308,female,25-44,None,Secundaria,Azcapotzalco,Nicolas Romero,Trabajo,1,1,5 (Muy importante),Taxi,Peseros,1,,,
homer.324.er,Bus,Mexico Nueva,Fuera CETRAM,T4356043,35,28,14,2,19.54757 -99.236,10/7/13 17:34,7/10/13,5:34:23 PM,F4422869,female,18-24,1 to 2,Preparatoria,Atizapan de Zaragoza,Nicolas Romero,Recreacion,1,2,5 (Muy importante),Metro,Peseros,3,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T7860769,35,17,0,28,19.51468 -99.20926,10/7/13 13:50,7/10/13,1:50:08 PM,F7955990,female,25-44,None,Licenciatura,Atizapan de Zaragoza,Atizapan de Zaragoza,Otro,1,1,3,BRT,Metro,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T6451049,35,17,0,28,19.55655 -99.25979,10/7/13 13:54,7/10/13,1:54:16 PM,M1849381,male,45-64,None,Licenciatura,Atizapan de Zaragoza,Atizapan de Zaragoza,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T4670730,35,15,1,30,19.51944 -99.21053,11/7/13 13:20,7/11/13,1:20:46 PM,M1297776,male,25-44,1 to 2,Secundaria,Atizapan de Zaragoza,Atizapan de Zaragoza,Compra,1,2,5 (Muy importante),,,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0963346,35,26,9,14,19.50328 -99.20444,16/07/2013 14:35:56,7/16/13,2:35:56 PM,F9584860,female,18-24,1 to 2,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,1,1,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0235675,35,27,1,13,19.55718 -99.2469,12/7/13 18:09,7/12/13,6:09:12 PM,F5762372,female,18-24,None,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,1,1,5 (Muy importante),Metro,Peseros,1,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T0235675,35,27,1,13,19.55527 -99.24318,12/7/13 18:12,7/12/13,6:12:14 PM,M4302645,male,18-24,None,Licenciatura,Atizapan de Zaragoza,Ecatepec de Morelos,Trabajo,1,1,5 (Muy importante),BRT,Peseros,No se,,,
jsmanuel.landin,Bus,Tacuba,Fuera CETRAM,T1712541,35,0,0,0,19.52614 -99.22427,10/7/13 14:34,7/10/13,2:34:53 PM,F5378032,female,18-24,None,Preparatoria,Atizapan de Zaragoza,Tlalnepantla de Baz,Recreacion,1,1,5 (Muy importante),Metro,Taxi,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T8552043,35,28,6,12,19.50338 -99.20307,16/07/2013 13:16:30,7/16/13,1:16:30 PM,F8041776,female,45-64,None,Primaria,Azcapotzalco,Atizapan de Zaragoza,Trabajo,1,2,1 (Muy poco importante),Metro,Taxi,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T6920146,35,16,0,29,19.50571 -99.20779,10/7/13 13:13,7/10/13,1:13:47 PM,M8890830,male,18-24,None,Secundaria,Azcapotzalco,Atizapan de Zaragoza,Trabajo,1,5,5 (Muy importante),Trolebus,Peseros,No se,,,
jsmanuel.landin,Bus,Mexico Nueva,Fuera CETRAM,T1190416,35,45,0,-5,19.51771 -99.20137,11/7/13 14:18,7/11/13,2:18:18 PM,F1323317,female,25-44,1 to 2,Licenciatura,Azcapotzalco,Atizapan de Zaragoza,Trabajo,1,3,5 (Muy importante),Metro,Peseros,No se,,,
jsmanuel.landin,Bus,El Rosario,Fuera CETRAM,T4670730,35,15,1,30,19.50704 -99.21734,11/7/13 13:11,7/11/13,1:11:30 PM,F5222183,female,45-64,None,Primaria,Azcapotzalco,Atizapan de Zaragoza,Trabajo,1,1,5 (Muy importante),,Peseros,No se,,,
jsmanuel.landin,Bus,Tacuba,Fuera CETRAM,T7367293,35,0,0,0,19.53597 -99.22704,10/7/13 14:29,7/10/13,2:29:24 PM,M5196050,male,25-44,1 to 2,Secundaria,Azcapotzalco,Atizapan de Zaragoza,Otro,1,1,5 (Muy importante),Trolebus,Metro,No se,,,
